order,family,genus,species,brain_mass,body_mass,common_name
Rodentia,Sciuridae,Tamias,speciosus,1.86,59.9,Lodgepole Chipmunk
Rodentia,Muridae,Paramelomys,levipes,1.86,83.4,Papuan Lowland Paramelomys
Rodentia,Sciuridae,Hylopetes,spadiceus,1.87,87.5,Red-cheeked Flying Squirrel
Rodentia,Spalacidae,Spalax,ehrenbergi,1.88,197,Middle East Blind Mole Rat
Rodentia,Spalacidae,Tachyoryctes,splendens,1.88,234,East African Mole Rat
Rodentia,Sciuridae,Spermophilus,townsendii,1.89,149.5,Townsend's Ground Squirrel
Rodentia,Muridae,Rattus,morotaiensis,1.92,134.1,Halmahara Rat
Rodentia,Heteromyidae,Dipodomys,spectabilis,1.93,144.55,Banner-tailed Kangaroo Rat
Rodentia,Ctenodactylidae,Pectinator,spekei,1.93,180,Speke s Pectinator
Rodentia,Sciuridae,Tamiops,mcclellandii,1.95,39,Himalayan Striped Squirrel
Rodentia,Sciuridae,Tamias,dorsalis,1.98,62.2,Cliff Chipmunk
Rodentia,Sciuridae,Tamias,palmeri,1.99,60.8,Palmer's Chipmunk
Rodentia,Sciuridae,Spermophilus,mohavensis,2.03,154,Mohave Ground Squirrel
Rodentia,Sciuridae,Funambulus,pennantii,2.1,85.9,Northern Palm Squirrel
Rodentia,Sciuridae,Spermophilus,brunneus,2.11,116.8,Idaho Ground Squirrel
Rodentia,Sciuridae,Tamias,quadrimaculatus,2.16,82.3,Long-eared Chipmunk
Rodentia,Sciuridae,Tamias,striatus,2.17,94.3,Eastern Chipmunk
Rodentia,Cricetidae,Neotoma,albigula,2.17,223.1,White-throated Woodrat
Rodentia,Sciuridae,Ammospermophilus,leucurus,2.25,105.85,White-tailed Antelope Squirrel
Rodentia,Sciuridae,Spermophilus,tridecemlineatus,2.27,149.8,Thirteen-lined Ground Squirrel
Rodentia,Geomyidae,Geomys,breviceps,2.29,138.8,Baird s Pocket Gopher.
Rodentia,Ctenodactylidae,Massoutiera,mzabi,2.32,182.6,Mzab Gundi
Rodentia,Sciuridae,Spermophilus,spilosoma,2.37,132.7,Spotted Ground Squirrel
Rodentia,Sciuridae,Ammospermophilus,harrisii,2.405,107.15,Harris s Antelope Squirrel
Rodentia,Sciuridae,Tamias,townsendii,2.44,89.4,Townsend's Chipmunk
Rodentia,Sciuridae,Spermophilus,pygmaeus,2.44,235.2,Little Ground Squirrel
Rodentia,Sciuridae,Ammospermophilus,interpres,2.5,94.45,Texas Antelope Squirrel
